host_is_superhost,neighbourhood_cleansed,room_type,accommodates,bathrooms_text,bedrooms,beds,price,minimum_nights,maximum_nights,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,calculated_host_listings_count
0,3,2,1,0.0,1.0,1.0,1,20,210,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,2,2,1,1.0,1.0,1.0,1,1,1125,9.0,8.0,10.0,10.0,9.0,10.0,0,1
1,1,1,6,2.0,3.0,4.0,8,2,60,10.0,10.0,10.0,10.0,10.0,9.0,1,13
1,1,1,6,2.0,3.0,3.0,8,2,60,10.0,10.0,10.0,10.0,10.0,10.0,1,13
0,4,2,1,1.0,1.0,1.0,2,1,14,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,5,1.0,2.0,3.0,5,2,60,10.0,10.0,10.0,10.0,10.0,10.0,1,13
1,1,1,2,1.0,1.0,1.0,4,2,60,10.0,10.0,10.0,10.0,9.0,9.0,1,13
0,1,1,6,1.0,2.0,2.0,10,2,1125,9.0,9.0,10.0,10.0,10.0,9.0,0,11
0,1,2,1,1.0,1.0,1.0,2,3,1095,9.0,8.0,10.0,10.0,7.0,9.0,1,6
0,1,1,3,1.0,1.0,1.0,3,2,1095,9.0,9.0,10.0,10.0,8.0,9.0,1,6
0,1,1,4,2.0,2.0,2.0,7,8,1125,10.0,9.0,9.0,10.0,10.0,9.0,0,1
0,4,2,2,1.0,1.0,2.0,3,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,2,2,2.0,1.0,2.0,5,1,45,10.0,10.0,10.0,10.0,10.0,9.0,0,3
0,1,1,5,1.0,2.0,2.0,6,2,1125,8.0,7.0,9.0,9.0,8.0,8.0,0,5
0,5,1,4,2.0,2.0,2.0,8,5,1125,9.0,10.0,10.0,10.0,10.0,10.0,0,1
0,1,2,1,1.0,1.0,1.0,2,3,365,9.0,8.0,10.0,9.0,8.0,8.0,1,6
1,2,1,6,1.0,2.0,3.0,5,3,30,10.0,10.0,10.0,10.0,10.0,10.0,1,2
0,1,1,3,1.0,1.0,1.0,3,3,1125,9.0,9.0,9.0,9.0,10.0,10.0,1,6
0,1,2,2,1.0,1.0,1.0,5,3,30,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,1,2,1,1.0,1.0,1.0,3,2,60,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,2,2,1.0,1.0,2.0,3,7,1125,8.0,8.0,9.0,9.0,10.0,9.0,1,3
0,1,2,1,1.0,1.0,1.0,2,3,1095,9.0,9.0,10.0,9.0,8.0,9.0,1,6
0,1,2,1,1.0,1.0,1.0,2,3,1095,9.0,9.0,9.0,9.0,6.0,8.0,0,6
1,2,1,5,2.0,2.0,2.0,6,2,30,10.0,9.0,10.0,10.0,10.0,10.0,1,2
0,11,2,2,1.0,1.0,1.0,6,5,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
0,1,1,6,1.0,2.0,5.0,9,30,1125,8.0,8.0,9.0,9.0,9.0,9.0,1,5
0,11,2,2,1.0,1.0,1.0,6,5,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,4
0,11,2,1,1.0,1.0,1.0,4,5,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,4
0,2,1,4,1.0,2.0,1.0,3,2,1125,9.0,10.0,10.0,10.0,9.0,10.0,0,3
0,2,1,1,1.0,1.0,1.0,6,3,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,1,2,1,1.0,1.0,1.0,6,1,1825,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,4,1.0,1.0,1.0,4,1,365,8.0,6.0,10.0,10.0,8.0,8.0,0,5
1,1,2,2,1.0,1.0,1.0,3,7,30,10.0,8.0,9.0,9.0,10.0,10.0,1,3
1,5,2,2,1.0,1.0,2.0,2,7,1125,10.0,10.0,9.0,10.0,9.0,9.0,0,11
0,4,2,1,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,2
0,4,2,2,1.0,1.0,1.0,4,7,14,10.0,10.0,9.0,10.0,9.0,10.0,1,3
1,3,3,3,2.0,2.0,2.0,4,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
1,3,3,4,2.0,3.0,3.0,4,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,3
0,11,2,1,1.0,1.0,1.0,7,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,2,2,1.0,1.0,1.0,6,1,180,5.0,5.0,5.0,5.0,5.0,5.0,1,1
0,2,1,3,2.0,2.0,2.0,4,3,300,9.0,10.0,10.0,10.0,10.0,10.0,1,1
0,1,1,3,1.0,1.0,1.0,8,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,7,2.0,2.0,4.0,7,3,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,1,2,1,1.0,1.0,1.0,3,360,365,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,1,2,1.0,1.0,1.0,2,1,1125,8.0,9.0,9.0,9.0,9.0,8.0,1,21
0,1,4,1,1.0,1.0,1.0,5,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,2,1,1.0,1.0,1.0,3,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,2,1,3,1.0,1.0,1.0,7,3,365,9.0,9.0,10.0,9.0,10.0,9.0,0,5
0,1,2,2,1.0,1.0,1.0,5,2,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
1,1,1,4,1.0,2.0,3.0,5,3,30,10.0,9.0,10.0,10.0,10.0,10.0,0,3
1,1,1,5,2.0,2.0,2.0,10,2,180,10.0,10.0,10.0,9.0,10.0,9.0,1,11
1,1,1,3,1.0,1.0,0.0,6,2,180,10.0,10.0,10.0,10.0,10.0,9.0,0,11
1,1,1,3,1.0,1.0,1.0,6,2,150,10.0,10.0,10.0,9.0,10.0,9.0,0,11
1,1,1,3,1.0,1.0,1.0,6,2,150,10.0,10.0,10.0,10.0,10.0,10.0,0,11
0,3,1,2,1.0,1.0,2.0,3,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,1,8
0,3,1,6,2.0,2.0,3.0,4,2,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,8
0,3,2,2,1.0,1.0,1.0,2,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,3,1,4,1.0,1.0,2.0,4,2,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,8
0,3,1,2,1.0,1.0,1.0,3,2,1125,9.0,9.0,10.0,9.0,9.0,9.0,1,8
1,5,2,2,1.0,1.0,1.0,2,7,1000,10.0,10.0,10.0,10.0,10.0,10.0,0,11
0,5,1,4,2.May,2.0,2.0,5,2,200,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,2,2,2,2.0,1.0,2.0,10,1,1825,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,11,2,1,1.0,1.0,1.0,7,180,1825,5.0,5.0,5.0,5.0,5.0,5.0,1,1
1,18,1,3,1.0,1.0,2.0,6,5,365,10.0,10.0,10.0,10.0,9.0,10.0,0,2
0,1,2,1,1.0,1.0,1.0,6,5,365,10.0,10.0,8.0,10.0,10.0,10.0,0,1
1,3,1,2,2.0,1.0,2.0,5,14,1125,9.0,10.0,10.0,10.0,9.0,9.0,1,4
1,3,1,2,1.0,1.0,1.0,4,14,1125,9.0,9.0,9.0,9.0,9.0,9.0,1,4
0,2,2,1,1.0,1.0,1.0,1,3,150,9.0,9.0,10.0,10.0,9.0,10.0,0,1
0,1,1,4,1.0,1.0,2.0,5,3,364,8.0,9.0,8.0,9.0,10.0,8.0,1,3
0,5,2,2,1.0,1.0,1.0,3,1,1125,9.0,8.0,10.0,10.0,9.0,9.0,0,3
0,2,1,2,1.0,1.0,1.0,3,180,1125,8.0,9.0,10.0,10.0,10.0,10.0,0,2
1,2,1,2,1.0,1.0,1.0,3,2,1125,10.0,9.0,10.0,10.0,10.0,10.0,1,2
1,1,1,3,1.0,1.0,2.0,3,2,180,10.0,9.0,10.0,10.0,10.0,9.0,1,5
0,1,1,3,1.0,2.0,2.0,7,2,1125,10.0,10.0,10.0,10.0,9.0,9.0,1,2
0,23,2,4,2.0,2.0,2.0,3,1,1125,9.0,9.0,10.0,10.0,9.0,9.0,0,8
0,5,2,2,3.0,1.0,2.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,24,1,3,1.0,1.0,1.0,5,1,1125,10.0,10.0,10.0,10.0,9.0,9.0,0,1
0,32,2,2,2.0,1.0,1.0,6,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,20,1,6,1.0,2.0,6.0,7,7,1125,10.0,9.0,8.0,9.0,8.0,9.0,0,6
0,20,1,5,2.0,2.0,5.0,5,7,1125,8.0,10.0,9.0,10.0,8.0,9.0,0,6
0,21,4,1,1.0,1.0,1.0,7,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,11,2,2,1.0,1.0,0.0,9,6,30,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,2,1,2,1.0,1.0,1.0,8,6,60,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,33,1,3,1.0,1.0,1.0,5,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,1,2,1.0,1.0,1.0,3,1,1125,10.0,10.0,10.0,10.0,10.0,10.0,1,13
0,3,2,1,1.0,1.0,1.0,2,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,5,2,2,1.0,1.0,1.0,4,1,7,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,1,1,4,1.0,2.0,1.0,10,3,30,10.0,10.0,9.0,9.0,9.0,10.0,1,1
0,5,2,2,1.0,1.0,1.0,3,1,21,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,28,2,1,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,5,2,2,1.0,1.0,1.0,7,3,14,10.0,10.0,10.0,10.0,10.0,10.0,1,1
0,3,2,1,1.0,1.0,1.0,2,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,4,2,1,1.0,1.0,1.0,3,7,7,10.0,10.0,9.0,10.0,9.0,9.0,0,3
0,2,2,2,2.0,1.0,1.0,4,1,7,5.0,5.0,5.0,5.0,5.0,5.0,0,4
0,4,2,2,1.0,1.0,1.0,2,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,4,1,5,1.0,2.0,2.0,10,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,4
0,1,1,3,1.0,2.0,2.0,5,5,1125,7.0,4.0,8.0,8.0,7.0,7.0,0,1
0,1,2,3,2.0,1.0,2.0,3,2,31,9.0,9.0,10.0,10.0,10.0,9.0,0,1
1,6,1,3,1.0,2.0,3.0,5,3,180,10.0,10.0,10.0,10.0,10.0,10.0,0,2
0,2,1,2,1.0,1.0,1.0,3,2,1125,9.0,9.0,9.0,10.0,9.0,9.0,0,12
0,6,2,2,1.0,1.0,2.0,6,1,365,10.0,10.0,10.0,10.0,8.0,10.0,0,1
0,2,1,2,1.0,3.0,1.0,2,180,1095,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,3,1,7,2.0,2.0,4.0,5,2,2147483647,9.0,9.0,10.0,10.0,10.0,9.0,1,1
0,8,2,1,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,2,1,4,1.0,3.0,3.0,10,1,5,8.0,8.0,10.0,10.0,8.0,8.0,0,1
0,1,1,2,1.0,1.0,1.0,2,2,1095,9.0,9.0,10.0,10.0,8.0,9.0,1,6
0,1,2,2,1.0,1.0,1.0,2,2,1125,10.0,10.0,10.0,10.0,10.0,10.0,0,1
0,1,2,2,2.May,1.0,1.0,2,2,90,8.0,8.0,10.0,10.0,10.0,9.0,1,8
0,1,1,6,1.0,2.0,5.0,5,4,1125,10.0,9.0,10.0,10.0,10.0,9.0,1,19
0,6,2,1,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,1
0,18,2,1,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,1,1
0,15,2,4,1.0,2.0,2.0,1,1,1125,9.0,8.0,9.0,9.0,9.0,9.0,0,3
0,15,2,4,1.0,2.0,1.0,1,1,1125,9.0,9.0,9.0,10.0,9.0,9.0,0,3
1,1,1,3,1.0,1.0,1.0,7,3,1125,10.0,10.0,10.0,10.0,9.0,9.0,0,4
0,5,1,4,1.0,1.0,2.0,4,3,370,9.0,9.0,10.0,10.0,9.0,8.0,0,1
0,27,2,3,1.0,1.0,2.0,5,1,7,10.0,10.0,10.0,10.0,9.0,8.0,0,1
0,1,1,2,1.0,1.0,1.0,5,365,1125,9.0,8.0,10.0,9.0,10.0,8.0,0,1
0,1,2,2,1.0,1.0,1.0,1,3,360,9.0,10.0,10.0,9.0,10.0,9.0,1,2
0,13,2,2,1.0,1.0,1.0,4,1,1125,5.0,5.0,5.0,5.0,5.0,5.0,0,2
